nombre_audio,cluster
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,6
Cufr__ 8-Caminando junto al LEHG I-Tr1.2.wav,6
CRUZ DEL SUR 01.23.wav,5
Diego Dumas l 1-2.5.wav,7
Leyenda Voto-Dd_01.wav,27
Diego Dumas l 1-2.6.wav,7
DOBLE FUGA.R.wav,27
Alonso 1-2.wav,28
Alonso 1-2.7.wav,28
Alonso 1-2.1.wav,28
CRIOLLA FUGA 1_18.wav,11
Cufr̩ 9-Cubierta LEHG I-Tr2-Dk_01.wav,17
Alonso 1-2.2.wav,28
Alonso 1-2.8.wav,28
Alonso 1-2.3.wav,28
Cufr__ 9-Cubierta LEHG I-Tr1.wav,8
Porto 1-2-3-4-5-6-7-8-Dd_01.wav,29
Dumas yendo al fondeadero (1).1.wav,20
CRUZ DEL SUR 02.5.wav,5
Dumas en Iglesia St. Ferdinand (4).1.wav,21
Entrevista Bossuet  Canon (1).MOV.1.wav,22
Entrevista Bossuet  Canon (1).2.wav,22
Entrevista Bossuet  Canon (1).2.wav,22
Entrevista Bossuet  Canon (1).3.wav,22
Entrevista Bossuet  Canon (2).2.wav,22
Entrevista Bossuet  Canon (2).3.wav,22
Entrevista Bossuet  Canon (3).1.wav,22
C_AGN_371_L1-XOTN_02.wav,1
C_AGN_371_L1-XOTN_03.wav,1
AVENTURAS V3.4-PiSh_04.L.wav,4
Diego Dumas l 1-2.11.wav,7
Diego Dumas l 1-2.12.wav,7
Diego Dumas l 1-2.13.wav,7
CAMPANA IGLESIA.aif-AVrP_01.R.wav,30
Diego Dumas l 1-2.14.wav,7
Diego Dumas l 1-2.15.wav,7
Diego Dumas l 1-2.16.wav,7
Diego Dumas l 1-2.17.wav,7
Diego Dumas l 1-2.18.wav,7
Diego Dumas l 1-2.18.wav,7
Diego Dumas l 1-2.19.wav,7
Diego Dumas l 1-2.20.wav,7
Diego Dumas l 1-2.21.wav,7
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,6
CHACARERA.R.wav,1
CHACARERA.L.wav,1
