nombre_audio,cluster
01 - CRUZ DEL SUR-Ãltima.R.wav,1177
OFF ROLO CRUZ DEL SUR_13.wav,1223
A Cobertizo Chapa VIENTO!-Z2N5_01.L.1.wav,1217
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
C0026.14.wav,-1
40 BR LENTO TORMENTA.wav,1232
OFF ROLO CRUZ DEL SUR_13.wav,1223
01 - CRUZ DEL SUR-Ãltima.L.wav,1176
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
40 BR LENTO TORMENTA.wav,1232
Alvarez Forn 1-2.2.wav,1174
OFF ROLO CRUZ DEL SUR_13.wav,1223
ASCENSO-PiSh_01.L.wav,-1
OFF ROLO CRUZ DEL SUR_13.wav,1223
CHACARERA.aif,359
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
CHACARERA.aif,359
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
01 - CRUZ DEL SUR-Ãltima.L.wav,1176
CRIOLLA FUGA 1_07.wav,-1
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
AVENTURAS V3.4.wav,1318
OFF ROLO ACTO 1_02.wav,1235
OFF ROLO ACTO 1_02.wav,1235
OFF ROLO ACTO 1_01.wav,-1
OFF ROLO ACTO 1_02.wav,1235
